job_title,company,experience,jobNature,location,salary,apply_link
Construction Engineer for KSA,Lasifa International,N/A,remote,"Rawalpindi, PPB, PK",N/A,https://pk.indeed.com/viewjob?jk=9415e7d1cc1d2526
Copywriter,nan,N/A,remote,"Islamabad I-10/Markaz, PTA, PK",N/A,https://pk.indeed.com/viewjob?jk=d238732fa7404a67
DevOps Engineer,Essentia Technologies (Pvt) Limited,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=aa6affdd153bf334
AI Engineer Intern,Daxno Technologies,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=b71a50d1dcce65dc
Laravel full stack developer,Your Cloud Campus,N/A,remote,"Rawalpindi, PPB, PK",N/A,https://pk.indeed.com/viewjob?jk=f8bfeb8eabce1643
Software Quality Assurance Engineer,Decimal Solution,N/A,remote,"Islamabad I-8/4, PTA, PK",N/A,https://pk.indeed.com/viewjob?jk=2d235a6393efeb33
Senior Software Engineer,NESL-IT (SMC PVT) LTD,N/A,remote,"Islamabad I-10/Markaz, PTA, PK",N/A,https://pk.indeed.com/viewjob?jk=3b7553f0e67356c1
Mechanical Engineer (HVAC)-Intern,Telerelation,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=60a56cb86f5e5e5f
Electrical Draftsman,MEP Solutions,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=ec6652b8800bc0f1
Senior Fullstack Developer (NestJS - NextJS - NodeJS),Hiring Solutions/Varnum Consulting. LLC,N/A,remote,"Rawalpindi, PPB, PK",N/A,https://pk.indeed.com/viewjob?jk=a19adfd8805ffeac
Sr. Software Engineer (.Net),DataQ Healthcare,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=2b48d2a2854eb9d1
Software Engineer (React.js with .Net),Trilogy Spa Holdings,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=1b751c54bae0a0cb
Project Manager,CareCloud,N/A,remote,"Rawalpindi, PPB, PK",N/A,https://pk.indeed.com/viewjob?jk=78577b7c739f8328
PBX Specialist,Language Empire,N/A,remote,"Rawalpindi, PPB, PK",N/A,https://pk.indeed.com/viewjob?jk=51ebe6d5d2bbcfd5
Technical Writer,Language Empire,N/A,remote,"Islamabad, PIS, PK",N/A,https://pk.indeed.com/viewjob?jk=16da93de3dd596f1
